timestamp,source,stake_mult,min_conf,prob_up_BTCUSDT,prob_up_XRPUSDT,prob_up_ETHUSDT,prob_down_BTCUSDT,prob_down_XRPUSDT,prob_down_ETHUSDT,base_sig_BTCUSDT,base_sig_XRPUSDT,base_sig_ETHUSDT,actual_BTCUSDT,actual_XRPUSDT,actual_ETHUSDT,signal_BTCUSDT,signal_XRPUSDT,signal_ETHUSDT,pnl_BTCUSDT,pnl_XRPUSDT,pnl_ETHUSDT,pnl_total,entered_all,bank
2025-03-03 01:00:00+00:00,oot,0.5,999.0,0.5251628756523132,0.5555992722511292,0.5187508463859558,0.4748371243476867,0.4444007277488708,0.4812491536140442,1,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10000.0
2025-03-03 02:00:00+00:00,oot,0.5,0.014,0.5134415030479431,0.5162062048912048,0.4965848922729492,0.4865584969520569,0.4837937951087951,0.5034151077270508,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10000.0
2025-03-03 03:00:00+00:00,oot,0.5,0.014,0.5082857608795166,0.5117780566215515,0.4965848922729492,0.4917142391204834,0.4882219433784485,0.5034151077270508,0,0,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10000.0
2025-03-03 04:00:00+00:00,oot,0.5,999.0,0.4908958971500397,0.5156375765800476,0.494808554649353,0.5091041326522827,0.4843624234199524,0.505191445350647,0,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10000.0
2025-03-03 05:00:00+00:00,oot,0.5,0.014,0.4907342195510864,0.4815269708633423,0.4940888583660126,0.5092657804489136,0.5184730291366577,0.505911111831665,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10000.0
2025-03-03 06:00:00+00:00,oot,0.5,0.014,0.5310591459274292,0.5624185800552368,0.5284118056297302,0.4689408540725708,0.4375814199447632,0.4715881943702698,1,0,1,1,1,1,1,0,1,57.525,0.0,57.525,115.05,0,10115.05
2025-03-03 07:00:00+00:00,oot,0.5,0.014,0.5061579942703247,0.5229637026786804,0.4880778789520263,0.4938420057296753,0.4770362973213196,0.5119221210479736,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10115.05
2025-03-03 08:00:00+00:00,oot,0.5,0.014,0.5216280221939087,0.569270133972168,0.5329809784889221,0.4783719778060913,0.430729866027832,0.4670190215110779,1,1,0,1,-1,1,1,1,0,50.70259883522987,-65.0,0.0,-14.297401164770129,0,10100.75
2025-03-03 09:00:00+00:00,oot,0.5,0.014,0.4987283051013946,0.5264687538146973,0.5223381519317627,0.5012717247009277,0.4735312461853027,0.4776618480682373,0,1,0,1,1,1,0,1,0,0.0,55.315,0.0,55.315,0,10156.07
2025-03-03 10:00:00+00:00,oot,0.5,0.014,0.5011505484580994,0.4871988892555237,0.4975803792476654,0.4988494515419006,0.5128011107444763,0.5024195909500122,0,0,0,1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 11:00:00+00:00,oot,0.5,999.0,0.5104935765266418,0.5147282481193542,0.515365481376648,0.4895064234733581,0.4852717518806457,0.484634518623352,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 12:00:00+00:00,oot,0.5,999.0,0.495048463344574,0.4663631319999695,0.4756272733211517,0.504951536655426,0.5336368680000305,0.5243726968765259,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 13:00:00+00:00,oot,0.5,0.014,0.4951945841312408,0.4748201668262481,0.4882349073886871,0.5048054456710815,0.5251798629760742,0.5117651224136353,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 14:00:00+00:00,oot,0.5,0.014,0.5059811472892761,0.529471218585968,0.5239672064781189,0.4940188527107239,0.470528781414032,0.4760327935218811,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 15:00:00+00:00,oot,0.5,0.014,0.501096248626709,0.4709043502807617,0.4929699897766113,0.498903751373291,0.5290956497192383,0.5070300102233887,0,0,0,1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10156.07
2025-03-03 16:00:00+00:00,oot,0.5,0.014,0.5216280221939087,0.5360914468765259,0.5233291983604431,0.4783719778060913,0.4639085531234741,0.4766708016395569,1,0,0,1,-1,1,1,0,0,50.70259883522987,0.0,0.0,50.70259883522987,0,10206.77
2025-03-03 17:00:00+00:00,oot,0.5,999.0,0.5216280221939087,0.5470706224441528,0.5284301042556763,0.4783719778060913,0.4529293775558471,0.4715698957443237,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10206.77
2025-03-03 18:00:00+00:00,oot,0.5,999.0,0.5123040080070496,0.548546552658081,0.5284118056297302,0.4876959919929504,0.4514534473419189,0.4715881943702698,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10206.77
2025-03-03 19:00:00+00:00,oot,0.5,0.014,0.5216280221939087,0.5599591732025146,0.5284118056297302,0.4783719778060913,0.4400408267974853,0.4715881943702698,0,1,1,1,1,1,0,1,1,0.0,55.315,57.525,112.84,0,10319.61
2025-03-03 20:00:00+00:00,oot,0.5,0.014,0.5216280221939087,0.5599591732025146,0.5284118056297302,0.4783719778060913,0.4400408267974853,0.4715881943702698,1,1,1,-1,-1,-1,1,1,1,-57.29107213020324,-65.0,-65.0,-187.29107213020325,1,10132.32
2025-03-03 21:00:00+00:00,oot,0.5,999.0,0.5310591459274292,0.5634970664978027,0.5284118056297302,0.4689408540725708,0.4365029335021972,0.4715881943702698,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,10132.32
2025-03-03 22:00:00+00:00,oot,0.5,0.008,0.49098601937294,0.4699012339115143,0.4929516315460205,0.5090140104293823,0.5300987958908081,0.5070483684539795,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,10132.32
2025-03-03 23:00:00+00:00,oot,0.5,0.008,0.5149529576301575,0.4909870624542236,0.4965848922729492,0.4850470423698425,0.5090129375457764,0.5034151077270508,1,0,1,-1,-1,-1,1,0,0,-55.09711229801179,0.0,0.0,-55.09711229801179,0,10077.22
2025-03-04 00:00:00+00:00,oot,1.0,0.014,0.528744101524353,0.5610072612762451,0.5346542596817017,0.471255898475647,0.4389927387237549,0.4653457403182983,1,1,1,-1,-1,-1,1,1,1,-130.0,-130.0,-130.0,-390.0,1,9687.22
2025-03-04 01:00:00+00:00,oot,1.0,999.0,0.5193085670471191,0.5501937866210938,0.5346542596817017,0.4806914329528808,0.4498062133789062,0.4653457403182983,0,1,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9687.22
2025-03-04 02:00:00+00:00,oot,1.0,0.014,0.5104200839996338,0.5284618139266968,0.5084899067878723,0.4895799160003662,0.4715381860733032,0.4915100932121277,0,1,0,1,1,1,0,1,0,0.0,110.63,0.0,110.63,0,9797.85
2025-03-04 03:00:00+00:00,oot,1.0,0.014,0.507843017578125,0.5122416615486145,0.4947049617767334,0.492156982421875,0.4877583384513855,0.5052950382232666,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9797.85
2025-03-04 04:00:00+00:00,oot,1.0,999.0,0.5228449106216431,0.5009380578994751,0.4947049617767334,0.4771550893783569,0.4990619421005249,0.5052950382232666,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9797.85
2025-03-04 05:00:00+00:00,oot,1.0,0.014,0.5073617100715637,0.5085394978523254,0.503435492515564,0.4926382899284363,0.4914605021476745,0.496564507484436,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9797.85
2025-03-04 06:00:00+00:00,oot,1.0,0.014,0.522146463394165,0.5373541116714478,0.4801284372806549,0.4778535366058349,0.4626458883285522,0.5198715925216675,1,0,0,-1,-1,-1,1,0,0,-117.95201206207274,0.0,0.0,-117.95201206207274,0,9679.9
2025-03-04 07:00:00+00:00,oot,1.0,0.014,0.5193085670471191,0.5141475200653076,0.5011712908744812,0.4806914329528808,0.4858524799346924,0.4988287091255188,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 08:00:00+00:00,oot,1.0,0.014,0.5112159252166748,0.4960140883922577,0.4819552302360534,0.4887840747833252,0.5039858818054199,0.5180447697639465,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 09:00:00+00:00,oot,1.0,0.014,0.5105165243148804,0.4623149037361145,0.4819552302360534,0.4894834756851196,0.5376850962638855,0.5180447697639465,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 10:00:00+00:00,oot,1.0,0.014,0.4855583012104034,0.4900939166545868,0.4800770580768585,0.514441728591919,0.5099060535430908,0.5199229717254639,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 11:00:00+00:00,oot,1.0,999.0,0.4994975626468658,0.4562849998474121,0.483256995677948,0.5005024671554565,0.5437150001525879,0.516743004322052,0,0,0,-1,-1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 12:00:00+00:00,oot,1.0,999.0,0.4963750839233398,0.47958505153656,0.4945690333843231,0.5036249160766602,0.5204149484634399,0.5054309368133545,0,0,0,-1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 13:00:00+00:00,oot,1.0,0.014,0.5063086748123169,0.5285165905952454,0.5191446542739868,0.4936913251876831,0.4714834094047546,0.4808553457260132,0,0,0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 14:00:00+00:00,oot,1.0,0.014,0.4952593743801117,0.4404207766056061,0.4824064373970032,0.5047405958175659,0.5595792531967163,0.5175935626029968,0,0,0,-1,1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
2025-03-04 15:00:00+00:00,oot,1.0,0.014,0.5019123554229736,0.4360382258892059,0.4977591335773468,0.4980876445770263,0.5639617443084717,0.5022408962249756,0,0,0,1,-1,-1,0,0,0,0.0,0.0,0.0,0.0,0,9679.9
